object_id,mjd,magnitude,magnitude_err,filter,magnitude_system,time_system,galactic_extinction_corrected,k_corrected
sn-2004ef,53295.14,19.939,0.018,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53295.14,18.834,0.010,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53300.10,20.136,0.037,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53300.10,19.028,0.016,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53301.09,20.119,0.071,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53301.09,19.111,0.025,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53302.11,20.228,0.080,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53302.11,19.080,0.027,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53303.10,20.121,0.099,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53303.10,19.174,0.035,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53305.11,20.317,0.076,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53305.11,19.182,0.027,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53308.11,19.262,0.028,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53309.11,20.461,0.083,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53309.11,19.256,0.027,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53310.10,20.359,0.045,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53310.10,19.315,0.017,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53311.11,19.343,0.014,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53321.09,20.426,0.030,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53321.09,19.599,0.020,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53329.07,19.761,0.037,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53429.26,15.082,0.006,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53429.26,15.098,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53430.30,15.081,0.005,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53430.30,15.080,0.008,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53431.32,15.089,0.006,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53431.32,15.082,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53432.31,15.120,0.007,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53432.31,15.089,0.008,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53436.29,15.346,0.005,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53436.29,15.227,0.005,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53444.31,16.180,0.010,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53444.31,15.751,0.010,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53445.31,16.312,0.010,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53445.31,15.820,0.009,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53446.32,16.429,0.005,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53446.32,15.876,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53452.26,17.137,0.010,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53452.26,16.226,0.010,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53453.20,17.241,0.009,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53453.20,16.306,0.009,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53454.25,17.346,0.015,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53454.25,16.382,0.009,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53455.29,17.449,0.019,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53455.29,16.501,0.011,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53456.29,17.539,0.013,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53456.29,16.569,0.010,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53457.27,17.597,0.016,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53457.27,16.667,0.012,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53458.27,17.707,0.014,csp-dr3-b,Vega,MJD,false,false
